"gene_symbol"	"mean_rank"	"mean_rankSC"	"mean_rankBulk"	"direction_foldchange"
"Thsd7a"	88.6847826086957	84.4642857142857	90.53125	-1
"Aifm3"	90.0652173913043	118.357142857143	77.6875	-1
"Metrnl"	105.282608695652	94.4285714285714	110.03125	-1
"Nap1l1"	108.195652173913	96	113.53125	-1
"Magi2"	108.95652173913	64.1428571428571	128.5625	-1
"F2r"	109.521739130435	121.642857142857	104.21875	1
"Pak1"	109.673913043478	90.8571428571429	117.90625	-1
"Robo2"	113.065217391304	73.3571428571429	130.4375	-1
"Gja3"	114.739130434783	143.5	102.15625	-1
"Astn2"	116.684782608696	186.392857142857	86.1875	-1
"Plce1"	116.739130434783	95.5714285714286	126	-1
"Sulf1"	116.913043478261	143.071428571429	105.46875	-1
"Clic3"	119.173913043478	77.0714285714286	137.59375	-1
"Shisa3"	119.902173913043	128.678571428571	116.0625	-1
"Ankrd1"	120.29347826087	171.75	97.78125	1
"C1qtnf7"	120.804347826087	80.7142857142857	138.34375	-1
"Spats2l"	121.391304347826	140.214285714286	113.15625	-1
"Lrrc1"	122.260869565217	150.857142857143	109.75	-1
"Nexn"	123.010869565217	144.178571428571	113.75	1
"Optn"	123.217391304348	122.642857142857	123.46875	-1
"Cldn5"	123.282608695652	80.6428571428571	141.9375	-1
"Tspan15"	124.217391304348	98.2857142857143	135.5625	-1
"Ptpro"	125.804347826087	106.714285714286	134.15625	-1
"Angptl2"	126.804347826087	117.142857142857	131.03125	-1
"Sema3g"	128.608695652174	65.5714285714286	156.1875	-1
"Smarca2"	128.826086956522	174.357142857143	108.90625	-1
"Fgfbp1"	129.163043478261	109.964285714286	137.5625	-1
"Itgb8"	129.45652173913	160.5	115.875	-1
"Pard3b"	130.304347826087	71.2142857142857	156.15625	-1
"Sncaip"	130.369565217391	144.928571428571	124	-1
"Dusp15"	132.413043478261	172.428571428571	114.90625	-1
"Ephb1"	132.434782608696	119.071428571429	138.28125	-1
"Wt1"	132.478260869565	80.8571428571429	155.0625	-1
"Nek1"	134.869565217391	153.142857142857	126.875	-1
"Ddn"	136.282608695652	128.285714285714	139.78125	-1
"Mafb"	136.554347826087	80.5357142857143	161.0625	-1
"Mtss1"	136.95652173913	126.357142857143	141.59375	-1
"Zfp423"	137.423913043478	171.035714285714	122.71875	-1
"Enpep"	138.271739130435	107.321428571429	151.8125	-1
"Sema3e"	138.434782608696	127.142857142857	143.375	-1
"Dach1"	139.45652173913	90.3571428571429	160.9375	-1
"Cers6"	143.608695652174	117.071428571429	155.21875	-1
"Ncam1"	144.173913043478	186.642857142857	125.59375	-1
"Cdc42ep3"	144.239130434783	128.285714285714	151.21875	1
"Top1mt"	144.608695652174	120.928571428571	154.96875	-1
"Itgb5"	144.652173913043	107.071428571429	161.09375	-1
"Smo"	144.673913043478	133.142857142857	149.71875	-1
"Tspan13"	146.804347826087	153.642857142857	143.8125	-1
"Dpp4"	149.130434782609	130.285714285714	157.375	-1
"Endou"	149.391304347826	199.571428571429	127.4375	1
"Flrt2"	149.45652173913	154.714285714286	147.15625	-1
"Nphs2"	149.989130434783	59.0357142857143	189.78125	-1
"Nebl"	150.521739130435	124.714285714286	161.8125	-1
"Tnfrsf21"	151.304347826087	110.714285714286	169.0625	-1
"Dctd"	152.141304347826	202.035714285714	130.3125	-1
"Inpp4a"	153.478260869565	161.785714285714	149.84375	-1
"Gpc1"	153.54347826087	165.142857142857	148.46875	-1
"St6galnac3"	154.217391304348	155.285714285714	153.75	-1
"Gas7"	154.271739130435	161.535714285714	151.09375	-1
"Hspa12a"	154.717391304348	185.428571428571	141.28125	-1
"Parva"	154.95652173913	166.428571428571	149.9375	-1
"Fnbp1l"	155.195652173913	148.642857142857	158.0625	-1
"Ggt5"	155.326086956522	126.5	167.9375	-1
"Nars2"	155.652173913043	160.428571428571	153.5625	-1
"Cdc42se2"	155.869565217391	161.428571428571	153.4375	-1
"Abca2"	155.934782608696	149	158.96875	-1
"St3gal3"	155.934782608696	134.785714285714	165.1875	-1
"Podxl"	155.967391304348	91.5357142857143	184.15625	-1
"Akap12"	156.065217391304	172.928571428571	148.6875	1
"Creb3l2"	156.130434782609	131.357142857143	166.96875	-1
"Arhgap24"	156.695652173913	80	190.25	-1
"Tnfrsf12a"	157.010869565217	199.535714285714	138.40625	1
"Arhgap18"	157.04347826087	104.928571428571	179.84375	-1
"Fstl1"	157.282608695652	143.714285714286	163.21875	1
"Dhcr7"	157.380434782609	235.25	123.3125	-1
"Wsb2"	157.5	113.714285714286	176.65625	-1
"Iqgap1"	157.739130434783	141.5	164.84375	1
"Parp4"	157.847826086957	169.071428571429	152.9375	-1
"Nphs1"	157.967391304348	104.321428571429	181.4375	-1
"Efnb1"	158.021739130435	129.928571428571	170.3125	-1
"Cyp1b1"	158.04347826087	190.071428571429	144.03125	1
"Lrrc49"	158.152173913043	191.071428571429	143.75	-1
"Lmx1b"	158.282608695652	129.357142857143	170.9375	-1
"Myo1d"	158.521739130435	114.571428571429	177.75	-1
"Pja1"	158.673913043478	152.928571428571	161.1875	-1
"C1qtnf1"	158.79347826087	113.535714285714	178.59375	-1
"Hs3st6"	159	156.714285714286	160	-1
"Cxcl1"	159.739130434783	215.642857142857	135.28125	1
"Acpp"	160	146.357142857143	165.96875	-1
"Mmp23"	160.239130434783	90.2857142857143	190.84375	-1
"Adcy1"	160.315217391304	126.607142857143	175.0625	-1
"Dock5"	160.369565217391	105.285714285714	184.46875	-1
"Prr5"	160.467391304348	135.678571428571	171.3125	-1
"Kank1"	160.478260869565	108.785714285714	183.09375	-1
"Dpysl2"	160.521739130435	148.857142857143	165.625	-1
"Pag1"	160.652173913043	162.857142857143	159.6875	-1
"Epn3"	160.913043478261	167.857142857143	157.875	-1
"Agpat4"	162.195652173913	171.5	158.125	-1
"Trib2"	162.326086956522	126.428571428571	178.03125	-1
"Synpo"	162.45652173913	110.428571428571	185.21875	-1
"Ndfip1"	162.695652173913	183.714285714286	153.5	-1
"Dock4"	163.086956521739	159.928571428571	164.46875	-1
"Zfp185"	163.45652173913	226.642857142857	135.8125	-1
"Mme"	163.782608695652	118.357142857143	183.65625	-1
"Usp46"	164.260869565217	204.071428571429	146.84375	-1
"Galc"	164.304347826087	138.357142857143	175.65625	-1
"Nrd1"	164.369565217391	183.857142857143	155.84375	-1
"Ctnnal1"	165.608695652174	158.428571428571	168.75	-1
"Foxd2"	165.652173913043	178.785714285714	159.90625	-1
"Cables1"	166.086956521739	164.785714285714	166.65625	-1
"Ptch1"	166.54347826087	174.142857142857	163.21875	-1
"Iqgap2"	166.586956521739	117.5	188.0625	-1
"Cdk6"	166.608695652174	174.071428571429	163.34375	1
"Nck2"	167.630434782609	174.214285714286	164.75	-1
"Zbtb8a"	167.760869565217	158.357142857143	171.875	-1
"Mcc"	168.130434782609	175.642857142857	164.84375	-1
"St6gal1"	168.304347826087	190.071428571429	158.78125	-1
"Vgll4"	168.380434782609	137.892857142857	181.71875	-1
"Soat1"	168.663043478261	167.892857142857	169	1
"Rassf8"	168.826086956522	176.857142857143	165.3125	-1
"Itpr3"	169.315217391304	178.75	165.1875	-1
"Anxa4"	169.369565217391	207	152.90625	-1
"Tshz2"	169.54347826087	134.357142857143	184.9375	-1
"Cldn1"	170.163043478261	192.035714285714	160.59375	1
"Man1a2"	170.282608695652	86.2142857142857	207.0625	-1
"Zbtb20"	171.576086956522	162.392857142857	175.59375	-1
"Plat"	171.847826086957	96.3571428571429	204.875	-1
"Tcf21"	172.336956521739	125.892857142857	192.65625	-1
"Abca9"	172.597826086957	203.464285714286	159.09375	-1
"Arhgef16"	172.717391304348	164.642857142857	176.25	-1
"Micu1"	172.717391304348	156.428571428571	179.84375	-1
"Htra1"	173.021739130435	107.357142857143	201.75	-1
"Pde4b"	173.108695652174	147.857142857143	184.15625	-1
"Jarid2"	173.282608695652	222.142857142857	151.90625	-1
"Rab3b"	173.478260869565	152.642857142857	182.59375	-1
"Ssbp2"	173.869565217391	176.071428571429	172.90625	-1
"Dusp6"	174.391304347826	167	177.625	1
"Cdr2"	174.891304347826	176.571428571429	174.15625	-1
"Tgfbr3"	175.086956521739	169.857142857143	177.375	-1
"Hnrnph3"	175.369565217391	173.142857142857	176.34375	-1
"Lgmn"	175.630434782609	163.642857142857	180.875	1
"Gpcpd1"	175.717391304348	192.357142857143	168.4375	-1
"Slc31a2"	175.804347826087	164.714285714286	180.65625	-1
"Arrdc3"	175.95652173913	139.785714285714	191.78125	-1
"Ptpn14"	176.54347826087	160.071428571429	183.75	-1
"Actn1"	176.869565217391	165.357142857143	181.90625	1
"Man2a1"	176.891304347826	192.285714285714	170.15625	1
"Sat1"	177.04347826087	211.071428571429	162.15625	1
"Rmnd5a"	177.108695652174	204.928571428571	164.9375	-1
"Tmem164"	177.489130434783	168.464285714286	181.4375	-1
"Rtn4"	177.586956521739	167.214285714286	182.125	1
"St3gal6"	177.608695652174	143	192.75	-1
"Mt1"	178.086956521739	104.785714285714	210.15625	1
"Aagab"	178.130434782609	177.714285714286	178.3125	-1
"Crtc1"	178.152173913043	197.357142857143	169.75	-1
"Galnt1"	178.347826086957	181.357142857143	177.03125	1
"Palld"	178.586956521739	101.928571428571	212.125	-1
"Plcd3"	179.086956521739	230.428571428571	156.625	-1
"Pde4dip"	179.869565217391	165.214285714286	186.28125	-1
"Malt1"	179.95652173913	237.214285714286	154.90625	-1
"Ctdspl"	180.847826086957	121.928571428571	206.625	-1
"Nlk"	181	158.285714285714	190.9375	-1
"Syne1"	183.717391304348	190.714285714286	180.65625	-1
"Galnt10"	183.847826086957	100.071428571429	220.5	-1
"Tmem38b"	183.891304347826	200.714285714286	176.53125	1
"Vtcn1"	183.95652173913	245	157.25	-1
"Pdia4"	184.326086956522	166.785714285714	192	-1
"Pkdcc"	184.934782608696	200.785714285714	178	-1
"Vapb"	185.652173913043	182.714285714286	186.9375	-1
"Coro2b"	185.869565217391	161.785714285714	196.40625	-1
"Fto"	186.239130434783	197.571428571429	181.28125	-1
"Arhgap5"	186.282608695652	171.857142857143	192.59375	-1
"Picalm"	186.782608695652	162.214285714286	197.53125	1
"Pcgf5"	187.021739130435	172.357142857143	193.4375	1
"Osbpl9"	187.413043478261	130.142857142857	212.46875	-1
"Nrbp2"	187.54347826087	170.928571428571	194.8125	1
"Arrb1"	187.891304347826	185.785714285714	188.8125	-1
"Trp53bp2"	188.282608695652	225.642857142857	171.9375	-1
"Tle4"	188.804347826087	202.071428571429	183	-1
"Rin2"	189.239130434783	159.714285714286	202.15625	-1
"Atp8b1"	189.739130434783	189.357142857143	189.90625	-1
"Eif4a2"	189.771739130435	174.107142857143	196.625	-1
"Foxc1"	189.804347826087	207.928571428571	181.875	-1
"Ppfibp2"	191.434782608696	199	188.125	-1
"Qk"	191.934782608696	138.785714285714	215.1875	-1
"Prkce"	192.108695652174	213.071428571429	182.9375	-1
"Bambi"	192.869565217391	216.642857142857	182.46875	-1
"Thra"	192.891304347826	152.214285714286	210.6875	-1
"Degs1"	192.913043478261	178.357142857143	199.28125	-1
"Abhd2"	193.108695652174	161.428571428571	206.96875	1
"Plin2"	193.108695652174	224.357142857143	179.4375	1
"Adam9"	193.239130434783	190.071428571429	194.625	1
